column,embedding_model,accuracy,precision,recall,f1_score
text,mpnet,0.83298392732355,0.8288405490942525,0.83298392732355,0.8282354253136003
text_no_lemma_no_stem_with_stopwords,mpnet,0.8211041229909154,0.8178254573662986,0.8211041229909154,0.8188269261404848
text_lemma_stem_with_stopwords,mpnet,0.8176100628930818,0.8132201144065451,0.8176100628930818,0.8129213869302341
text,distilroberta,0.8092243186582809,0.8039965582296251,0.8092243186582809,0.8049003981984648
text_lemma_no_stem_with_stopwords,mpnet,0.8120195667365478,0.807778538539515,0.8120195667365478,0.8022755473736557
text_lemma_no_stem_with_stopwords,distilroberta,0.790356394129979,0.785412544285098,0.790356394129979,0.7853143818322477
text_lemma_stem_no_stopwords,mpnet,0.7896575821104123,0.7810537372561125,0.7896575821104123,0.7823687471011246
text_lemma_no_stem_no_stopwords,mpnet,0.7896575821104123,0.7810928536113114,0.7896575821104123,0.7815451606366185
text_model,3,0.7910552061495457,0.7821476908596671,0.7910552061495457,0.7805980329572278
text_lemma_no_stem_with_stopwords_model,3,0.7840670859538784,0.7777422116004916,0.7840670859538784,0.7798162775799037
text_no_lemma_no_stem_no_stopwords,mpnet,0.7882599580712788,0.779112764979689,0.7882599580712788,0.7785456985756176
text_no_lemma_no_stem_with_stopwords_model,3,0.7868623340321453,0.7803510362110532,0.7868623340321453,0.7780326095834263
text_no_lemma_stem_with_stopwords,mpnet,0.7854647099930119,0.7794290533517815,0.7854647099930119,0.7777045126989732
text_lemma_stem_with_stopwords,distilroberta,0.7840670859538784,0.777057683676187,0.7840670859538784,0.7771264667591653
text_lemma_stem_with_stopwords_model,3,0.7819706498951782,0.7734076973308796,0.7819706498951782,0.7727769303194317
text_no_lemma_no_stem_with_stopwords,distilroberta,0.782669461914745,0.775901895247201,0.782669461914745,0.7689729855073718
text_no_lemma_stem_with_stopwords,distilroberta,0.7784765897973445,0.7730586284768856,0.7784765897973445,0.7638669020147999
text_no_lemma_stem_with_stopwords_model,3,0.7679944095038435,0.7580917440708986,0.7679944095038435,0.7579518090295883
text_no_lemma_no_stem_no_stopwords_model,3,0.7672955974842768,0.7549487102676653,0.7672955974842768,0.7560315794424347
text_lemma_no_stem_no_stopwords,distilroberta,0.76659678546471,0.753962593117495,0.76659678546471,0.7507309134604808
text_no_lemma_no_stem_no_stopwords,distilroberta,0.7596086652690426,0.7460214771010187,0.7596086652690426,0.7469288020813426
text_lemma_stem_no_stopwords,distilroberta,0.7526205450733753,0.7453800473405651,0.7526205450733753,0.7469120708346644
text_lemma_no_stem_no_stopwords_model,3,0.7554157931516422,0.7421039625577117,0.7554157931516422,0.7428460729920812
text_lemma_stem_no_stopwords_model,3,0.7519217330538085,0.737078992320671,0.7519217330538085,0.7362107819474089
text_no_lemma_stem_no_stopwords,mpnet,0.7554157931516422,0.7422647204168855,0.7554157931516422,0.7334414902304781
text_no_lemma_stem_no_stopwords_model,3,0.7414395527603075,0.7253878999279848,0.7414395527603075,0.725970786156999
text_no_lemma_stem_no_stopwords,distilroberta,0.7470300489168413,0.7282624915529732,0.7470300489168413,0.7245309341423812
